Account1,Test1,USD,10000
Account2,Test2,EUR,10000
Account3,Test3,USD,10000
Account4,Test4,EUR,10000
Account5,Test5,USD,10000
Account6,Test6,EUR,10000
Account7,Test7,USD,10000
Account8,Test8,EUR,10000
Account9,Test9,USD,10000
Account10,Test10,EUR,10000
Account11,Test11,USD,10000
Account12,Test12,EUR,10000
Account13,Test13,USD,10000
Account14,Test14,EUR,10000
Account15,Test15,USD,10000
Account16,Test16,EUR,10000
Account17,Test17,USD,10000
Account18,Test18,USD,10000
Account19,Test19,EUR,10000
Account20,Test20,USD,10000
Account21,Test21,EUR,10000
Account22,Test22,USD,10000
Account23,Test23,EUR,10000
Account24,Test24,USD,10000
Account25,Test25,EUR,10000
Account26,Test26,USD,10000
Account27,Test27,EUR,10000
Account28,Test28,USD,10000
Account29,Test29,EUR,10000
Account30,Test30,USD,10000
Account31,Test31,EUR,10000
Account32,Test32,USD,10000
Account33,Test33,EUR,10000
Account34,Test34,USD,10000
Account35,Test35,USD,10000
Account36,Test36,EUR,10000
Account37,Test37,USD,10000
Account38,Test38,EUR,10000
Account39,Test39,USD,10000
Account40,Test40,EUR,10000
Account41,Test41,USD,10000
Account42,Test42,EUR,10000
Account43,Test43,USD,10000
Account44,Test44,EUR,10000
Account45,Test45,USD,10000
Account46,Test46,EUR,10000
Account47,Test47,USD,10000
Account48,Test48,EUR,10000
Account49,Test49,USD,10000
Account50,Test50,EUR,10000
Account51,Test51,USD,10000
Account52,Test52,USD,10000
Account53,Test53,EUR,10000
Account54,Test54,USD,10000
Account55,Test55,EUR,10000
Account56,Test56,USD,10000
Account57,Test57,EUR,10000
Account58,Test58,USD,10000
Account59,Test59,EUR,10000
Account60,Test60,USD,10000
Account61,Test61,EUR,10000
Account62,Test62,USD,10000
Account63,Test63,EUR,10000
Account64,Test64,USD,10000
Account65,Test65,EUR,10000
Account66,Test66,USD,10000
Account67,Test67,EUR,10000
Account68,Test68,USD,10000
Account69,Test69,USD,10000
Account70,Test70,EUR,10000
Account71,Test71,USD,10000
Account72,Test72,EUR,10000
Account73,Test73,USD,10000
Account74,Test74,EUR,10000
Account75,Test75,USD,10000
Account76,Test76,EUR,10000
Account77,Test77,USD,10000
Account78,Test78,EUR,10000
Account79,Test79,USD,10000
Account80,Test80,EUR,10000
Account81,Test81,USD,10000
Account82,Test82,EUR,10000
Account83,Test83,USD,10000
Account84,Test84,EUR,10000
Account85,Test85,USD,10000
Account86,Test86,USD,10000
Account87,Test87,EUR,10000
Account88,Test88,USD,10000
Account89,Test89,EUR,10000
Account90,Test90,USD,10000
